,owner,repository,description,created_at,updated_at,pushed_at,language,size,stargazers_count,watchers,forks
0,jtleek,datasharing,The Leek group guide to data sharing ,2013-11-07,2023-10-02,2023-09-12,,590,6382,6382,243353
1,rdpeng,ProgrammingAssignment2,Repository for Programming Assignment 2 for R Programming on Coursera,2014-01-14,2023-09-28,2023-10-01,R,6670,805,805,142788
2,octocat,Spoon-Knife,This repo is for demonstration purposes only.,2011-01-27,2023-10-01,2023-10-02,HTML,2,11871,11871,138923
3,SmartThingsCommunity,SmartThingsPublic,SmartThings open-source DeviceType Handlers and SmartApps code,2015-08-04,2023-09-29,2023-07-18,Groovy,21066,2500,2500,90934
4,tensorflow,tensorflow,An Open Source Machine Learning Framework for Everyone,2015-11-07,2023-10-02,2023-10-02,C++,938745,177880,177880,88992
5,github,gitignore,A collection of useful .gitignore templates,2010-11-08,2023-10-02,2023-10-01,,2356,151825,151825,84042
6,Pierian-Data,Complete-Python-3-Bootcamp,Course Files for Complete Python 3 Bootcamp Course on Udemy,2018-02-12,2023-10-01,2023-09-24,Jupyter Notebook,37125,24908,24908,81099
7,twbs,bootstrap,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web.",2011-07-29,2023-10-02,2023-10-01,JavaScript,235821,165471,165471,78924
8,nightscout,cgm-remote-monitor,nightscout web monitor,2014-05-22,2023-09-29,2023-09-30,JavaScript,29952,2179,2179,70348
9,jwasham,coding-interview-university,A complete computer science study plan to become a software engineer.,2016-06-06,2023-10-02,2023-09-30,,21046,268495,268495,69922
10,firstcontributions,first-contributions,🚀✨ Help beginners to contribute to open source projects,2016-09-20,2023-10-02,2023-10-02,,27240,38010,38010,65764
11,github,docs,The open-source repo for docs.github.com,2019-05-31,2023-10-02,2023-10-01,JavaScript,1822841,14541,14541,61518
12,EbookFoundation,free-programming-books,:books: Freely available programming books,2013-10-11,2023-10-02,2023-10-02,,16896,299409,299409,57404
