,login,name,avatar_url,created_at,updated_at,company,html_url,location,public_repos,followers,following
0,torvalds,Linus Torvalds,https://avatars.githubusercontent.com/u/1024025?v=4,2011-09-03,2023-08-15,Linux Foundation,https://github.com/torvalds,"Portland, OR",7,191546,0
1,yyx990803,Evan You,https://avatars.githubusercontent.com/u/499550?v=4,2010-11-28,2023-09-26,vuejs,https://github.com/yyx990803,Singapore,185,95548,95
2,gaearon,dan,https://avatars.githubusercontent.com/u/810438?v=4,2011-05-25,2023-08-28,@bluesky-social ,https://github.com/gaearon,,267,84931,172
3,ruanyf,Ruan YiFeng,https://avatars.githubusercontent.com/u/905434?v=4,2011-07-10,2023-09-28,,https://github.com/ruanyf,"Shanghai, China",68,76475,0
4,peng-zhihui,稚晖,https://avatars.githubusercontent.com/u/12994887?v=4,2015-06-22,2023-09-12,HUAWEI Research,https://github.com/peng-zhihui,Shanghai,56,73804,9
5,gustavoguanabara,Gustavo Guanabara,https://avatars.githubusercontent.com/u/8683378?v=4,2014-09-07,2023-01-30,Curso em Vídeo,https://github.com/gustavoguanabara,"Rio de Janeiro, Brazil",6,72927,3
6,bradtraversy,Brad Traversy,https://avatars.githubusercontent.com/u/5550850?v=4,2013-09-26,2023-06-26,Traversy Media,https://github.com/bradtraversy,Massachusetts,269,67043,6
7,JakeWharton,Jake Wharton,https://avatars.githubusercontent.com/u/66577?v=4,2009-03-24,2023-09-22,@cashapp / @square,https://github.com/JakeWharton,"Pittsburgh, PA, USA",133,66146,9
8,openai,OpenAI,https://avatars.githubusercontent.com/u/14957082?v=4,2015-10-03,2023-07-21,,https://github.com/openai,,153,64150,0
9,sindresorhus,Sindre Sorhus,https://avatars.githubusercontent.com/u/170270?v=4,2009-12-20,2023-09-12,,https://github.com/sindresorhus,,1072,58309,53
10,karpathy,Andrej,https://avatars.githubusercontent.com/u/241138?v=4,2010-04-10,2023-09-19,,https://github.com/karpathy,Stanford,50,55837,7
11,tj,TJ Holowaychuk,https://avatars.githubusercontent.com/u/25254?v=4,2008-09-18,2022-12-21,Apex,https://github.com/tj,"London, UK",296,49979,45
12,microsoft,Microsoft,https://avatars.githubusercontent.com/u/6154722?v=4,2013-12-10,2022-06-13,,https://github.com/microsoft,"Redmond, WA",5847,49087,0
13,rafaballerini,Rafaella Ballerini,https://avatars.githubusercontent.com/u/54322854?v=4,2019-08-20,2023-09-16,,https://github.com/rafaballerini,"Santa Catarina, Brasil",49,46723,28
14,getify,Kyle Simpson,https://avatars.githubusercontent.com/u/150330?v=4,2009-11-08,2023-09-28,Getify Solutions; Socket Supply Co,https://github.com/getify,"Austin, TX",65,41972,2
15,addyosmani,Addy Osmani,https://avatars.githubusercontent.com/u/110953?v=4,2009-08-01,2023-09-29,Google,https://github.com/addyosmani,"Mountain View, California",317,41702,262
16,geohot,George Hotz,https://avatars.githubusercontent.com/u/72895?v=4,2009-04-12,2023-09-27,@commaai @tinygrad ,https://github.com/geohot,"San Diego, CA",83,38609,0
17,llSourcell,Siraj Raval,https://avatars.githubusercontent.com/u/1279609?v=4,2011-12-22,2023-09-20,,https://github.com/llSourcell,"San Francisco, CA",462,36754,4
18,michaelliao,Michael Liao,https://avatars.githubusercontent.com/u/470058?v=4,2010-11-06,2023-09-15,,https://github.com/michaelliao,"Beijing, China",82,36369,3
19,wesbos,Wes Bos,https://avatars.githubusercontent.com/u/176013?v=4,2010-01-04,2023-07-04,me,https://github.com/wesbos,"Hamilton, Ontario",349,31701,31
20,paulirish,Paul Irish,https://avatars.githubusercontent.com/u/39191?v=4,2008-12-09,2023-08-30,"Google Chrome, ♥z",https://github.com/paulirish,,334,31112,289
21,kentcdodds,Kent C. Dodds,https://avatars.githubusercontent.com/u/1500684?v=4,2012-03-04,2023-09-28,@epicweb-dev ,https://github.com/kentcdodds,"Salt Lake City, Utah, USA",704,31030,43
22,filipedeschamps,Filipe Deschamps,https://avatars.githubusercontent.com/u/4248081?v=4,2013-04-24,2023-09-12,,https://github.com/filipedeschamps,Brasil,19,30621,1708
23,ry,Ryan Dahl,https://avatars.githubusercontent.com/u/80?v=4,2008-01-29,2023-09-12,@denoland ,https://github.com/ry,New York City,55,30259,39
24,google,Google,https://avatars.githubusercontent.com/u/1342004?v=4,2012-01-18,2021-12-30,,https://github.com/google,,2562,29791,0
25,taylorotwell,Taylor Otwell,https://avatars.githubusercontent.com/u/463230?v=4,2010-11-01,2023-08-05,Laravel,https://github.com/taylorotwell,"Little Rock, AR",28,29653,1
26,github,GitHub,https://avatars.githubusercontent.com/u/9919?v=4,2008-05-11,2022-11-29,,https://github.com/github,"San Francisco, CA",474,29490,0
27,kamranahmedse,Kamran Ahmed,https://avatars.githubusercontent.com/u/4921183?v=4,2013-07-02,2023-09-30,roadmap.sh,https://github.com/kamranahmedse,United Kingdom,95,29303,155
28,diego3g,Diego Fernandes,https://avatars.githubusercontent.com/u/2254731?v=4,2012-08-31,2023-09-15,@Rocketseat ,https://github.com/diego3g,Brasil,68,29212,83
29,benawad,Ben Awad,https://avatars.githubusercontent.com/u/7872329?v=4,2014-06-12,2023-09-30,,https://github.com/benawad,"Austin, TX",249,28407,4
30,StephenGrider,Stephen Grider,https://avatars.githubusercontent.com/u/5003903?v=4,2013-07-13,2023-09-15,,https://github.com/StephenGrider,,119,28248,14
31,iamshaunjp,Shaun (Net Ninja),https://avatars.githubusercontent.com/u/9838872?v=4,2014-11-19,2023-08-07,Net Ninja,https://github.com/iamshaunjp,United Kingdom,113,28102,1
32,TheAlgorithms,The Algorithms,https://avatars.githubusercontent.com/u/20487725?v=4,2016-07-16,2021-05-08,,https://github.com/TheAlgorithms,India,48,27872,0
33,buckyroberts,Bucky Roberts,https://avatars.githubusercontent.com/u/8547538?v=4,2014-08-25,2023-09-18,thenewboston,https://github.com/buckyroberts,"New York, NY",43,27256,22
34,WebDevSimplified,,https://avatars.githubusercontent.com/u/39717099?v=4,2018-05-29,2022-11-29,WebDevSimplified,https://github.com/WebDevSimplified,Nebraska,189,26602,0
35,3b1b,Grant Sanderson,https://avatars.githubusercontent.com/u/11601040?v=4,2015-03-22,2023-09-01,3Blue1Brown,https://github.com/3b1b,,7,26408,0
36,antfu,Anthony Fu,https://avatars.githubusercontent.com/u/11247099?v=4,2015-02-28,2023-09-27,@Nuxt,https://github.com/antfu,undefined,299,25590,317
